t,sv_x,sv_y,sv_v,sv_theta,dist_to_obs,risk,ttc,picked_v,picked_omega
0,7.50096164477754e-17,-58.775,12.25,1.5707963267949,60,2.07967438945382,4.83333333333333,12.25,0
0.1,1.51550041394485e-16,-57.525,12.5,1.5707963267949,58.775,2.13179617557438,4.63469387755102,12.5,0
0.2,2.29621274840129e-16,-56.25,12.75,1.5707963267949,57.525,2.18750417865041,4.44199999999999,12.75,0
0.3,3.09223316784707e-16,-54.95,13,1.5707963267949,56.25,2.24713835224931,4.25490196078431,13,0
0.4,3.90356167228219e-16,-53.625,13.25,1.5707963267949,54.95,2.31108334605839,4.07307692307693,13.25,0
0.5,4.73019826170665e-16,-52.275,13.5,1.5707963267949,53.625,2.37977598640889,3.89622641509434,13.5,0
0.6,5.57214293612046e-16,-50.9,13.75,1.5707963267949,52.275,2.45371430214168,3.72407407407407,13.75,0
0.7,6.42939569552361e-16,-49.5,14,1.5707963267949,50.9,2.5334684793825,3.55636363636364,14,0
0.8,7.30195653991609e-16,-48.075,14.25,1.5707963267949,49.5,2.61969424113027,3.39285714285714,14.25,0
0.9,8.18982546929793e-16,-46.625,14.5,1.5707963267949,48.075,2.71314929818393,3.23333333333333,14.5,0
1,9.08636898017372e-16,-45.1608333333333,14.6416666666667,1.5707963267949,46.625,2.81471372186632,3.07758620689655,14.6416666666667,0
1.1,9.98495356904809e-16,-43.6933333333333,14.675,1.5707963267949,45.1608333333333,2.9245732779782,2.94780876494024,14.675,0
1.2,1.08789457324257e-15,-42.2333333333333,14.6,1.5707963267949,43.6933333333333,3.04283659371696,2.84111300397501,14.6,0
1.3,1.17749789738018e-15,-40.77,14.6333333333333,1.5707963267949,42.2333333333333,3.16949748804815,2.75570776255708,14.6333333333333,0
1.4,1.26664197896811e-15,-39.3141666666667,14.5583333333333,1.5707963267949,40.77,3.30649591404057,2.64943052391799,14.5583333333333,0
1.5,1.35532681800637e-15,-37.8658333333333,14.4833333333333,1.5707963267949,39.3141666666667,3.45396517760727,2.56307956496851,14.4833333333333,0
1.6,1.44355241449494e-15,-36.425,14.4083333333333,1.5707963267949,37.8658333333333,3.6130986652479,2.47635212888378,14.4083333333333,0
1.7,1.53131876843384e-15,-34.9916666666667,14.3333333333333,1.5707963267949,36.425,3.78527443458622,2.38924233661076,14.3333333333333,0
1.8,1.61862587982305e-15,-33.5658333333333,14.2583333333333,1.5707963267949,34.9916666666667,3.97209191683036,2.30174418604651,14.2583333333333,0
1.9,1.70547374866258e-15,-32.1475,14.1833333333333,1.5707963267949,33.5658333333333,4.17541765804984,2.21385154880187,14.1833333333333,0
2,1.79186237495244e-15,-30.7366666666667,14.1083333333333,1.5707963267949,32.1475,4.39744279052064,2.12555816686251,14.1083333333333,0
2.1,1.87712840834307e-15,-29.3441666666667,13.925,1.5707963267949,30.7366666666667,4.64075587717476,2.03685764914353,13.925,0
2.2,1.96193519918402e-15,-27.9591666666667,13.85,1.5707963267949,29.3441666666667,4.90626167233706,1.96367444643925,13.85,0
2.3,2.04561939712576e-15,-26.5925,13.6666666666667,1.5707963267949,27.9591666666667,5.1993347133764,1.87430806257521,13.6666666666667,0
2.4,2.12818100216828e-15,-25.2441666666667,13.4833333333333,1.5707963267949,26.5925,5.52161145103554,1.7994512195122,13.4833333333333,0
2.5,2.20895666396204e-15,-23.925,13.1916666666667,1.5707963267949,25.2441666666667,5.87737765550779,1.72391841779975,13.1916666666667,0
2.6,2.28794638250704e-15,-22.635,12.9,1.5707963267949,23.925,6.26836833914355,1.66203411244472,12.9,0
2.7,2.36448680745375e-15,-21.385,12.5,1.5707963267949,22.635,6.69946689638965,1.59961240310078,12.5,0
2.8,2.43857793880217e-15,-20.175,12.1,1.5707963267949,21.385,7.17209012991539,1.5508,12.1,0
2.9,2.51021977655229e-15,-19.005,11.7,1.5707963267949,20.175,7.69131488776533,1.50206611570248,11.7,0
3,2.57941232070411e-15,-17.875,11.3,1.5707963267949,19.005,8.262955148105,1.4534188034188,11.3,0
3.1,2.64615557125764e-15,-16.785,10.9,1.5707963267949,17.875,8.89368172687078,1.40486725663717,10.9,0
3.2,2.71044952821288e-15,-15.735,10.5,1.5707963267949,16.785,9.59116206365644,1.35642201834862,10.5,0
3.3,2.77229419156982e-15,-14.725,10.1,1.5707963267949,15.735,10.3642229659722,1.30809523809524,10.1,0
3.4,2.83168956132847e-15,-13.755,9.7,1.5707963267949,14.725,11.2230392032915,1.25990099009901,9.7,0
3.5,2.88863563748882e-15,-12.825,9.3,1.5707963267949,13.755,12.1793505439078,1.21185567010309,9.3,0
3.6,2.94313242005088e-15,-11.935,8.9,1.5707963267949,12.825,13.2467089881115,1.16397849462366,8.9,0
3.7,2.99517990901464e-15,-11.085,8.5,1.5707963267949,11.935,14.4407562047684,1.11629213483146,8.5,0
3.8,3.04477810438011e-15,-10.275,8.1,1.5707963267949,11.085,15.7795279561567,1.06882352941176,8.1,0
3.9,3.09192700614728e-15,-9.505,7.7,1.5707963267949,10.275,17.2837767278582,1.0216049382716,7.7,0
4,0.0437737247299978,-8.7763136058473,7.3,1.5107963267949,9.505,18.9772945612571,0.974675324675323,7.3,0
4.1,0.126375147759352,-8.09127564710813,6.9,1.4507963267949,8.77642277053454,20.8831400706403,0.937099804980582,6.9,0
4.2,0.242744370486138,-7.45177724679585,6.5,1.3907963267949,8.09226249422597,23.0193411835962,0.919384610932975,6.5,0
4.3,0.38774297260669,-6.85926108213611,6.1,1.3307963267949,7.45572994181435,25.3973638910384,0.93117411718209,6.1,0
4.4,0.556189490403654,-6.31471928333452,5.7,1.2707963267949,6.87021158376603,28.0164245093567,Inf,5.7,0
4.5,0.742894834039452,-5.81869396678521,5.3,1.2107963267949,6.33916606317836,30.8559050519843,Inf,5.3,0
4.6,0.939904214224842,-5.35914276820232,5,1.1657963267949,5.86592637300752,33.8667026779206,Inf,5,0
4.7,1.15060941490817,-4.90570774705265,5,1.1357963267949,5.44094028104453,37.0653489475145,Inf,5,0
